,Symbol,Count Week,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Week 1,Week Full
109,AAS,1.0,31.4,32.3,31.4,32.7,32.06,0.49,"690,237.00","279,914.16",2.87,2.87
110,SCL,1.0,20.9,21.5,20.9,22.3,21.4,0.55,"151,633.80","27,683.23",2.87,2.87
111,HIG,1.0,10.5,10.8,10.5,10.8,10.64,0.15,"109,782.40","126,369.49",2.86,2.86
112,TTH,1.0,7.4,7.6,7.2,7.6,7.4,0.16,"1,545,437.00","529,850.09",2.7,2.7
113,BTN,1.0,7.4,7.6,7.0,7.8,7.4,0.32,"246,868.20","216,710.12",2.7,2.7
114,SVN,1.0,7.5,7.7,7.3,7.7,7.46,0.17,"151,344.00","75,274.28",2.67,2.67
115,AGG,1.0,47.75,49.0,47.75,49.85,48.91,0.97,"924,160.00","482,529.95",2.62,2.62
116,ILA,1.0,11.8,12.1,11.8,12.5,12.2,0.26,"250,252.00","112,611.91",2.54,2.54
117,TV3,1.0,24.2,24.8,24.2,25.0,24.62,0.35,"110,215.00","79,261.45",2.48,2.48
118,HDC,1.0,98.6,101.0,94.9,101.6,98.22,3.19,"966,340.00","354,758.30",2.43,2.43
119,FTM,1.0,5.86,6.0,5.86,6.27,6.1,0.17,"1,703,280.00","589,059.33",2.39,2.39
120,ACV,1.0,89.3,91.4,88.0,91.4,89.58,1.25,"114,539.40","52,207.57",2.35,2.35
121,PVO,1.0,17.4,17.8,17.4,21.9,19.38,1.87,"437,327.20","178,929.72",2.3,2.3
122,VEA,1.0,45.1,46.1,45.0,46.9,45.64,0.84,"257,803.20","289,688.79",2.22,2.22
123,VTV,1.0,9.1,9.3,8.8,9.3,9.08,0.18,"290,827.20","154,278.65",2.2,2.2
124,VNP,1.0,28.2,28.8,27.7,28.8,28.22,0.53,"493,706.40","215,089.22",2.13,2.13
125,AAT,1.0,14.25,14.55,14.25,14.6,14.49,0.14,"808,800.00","235,938.89",2.11,2.11
126,EVS,1.0,38.7,39.5,38.1,39.5,38.86,0.51,"251,358.80","231,995.03",2.07,2.07
127,VCR,1.0,46.1,47.0,45.8,47.3,46.44,0.67,"155,647.40","36,043.01",1.95,1.95
128,C4G,1.0,22.4,22.8,22.4,22.8,22.64,0.15,"4,685,715.60","1,836,139.32",1.79,1.79
