,Symbol,Count Month,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Month 1,Month 2,Month 3,Month Full
90,VC3,3.2,24.9,23.8,23.6,26.0,24.06,0.48,"444,672.03","140,844.83",-0.42,-0.62,-1.49,-1.4
91,SHI,3.2,14.5,13.85,13.5,14.5,13.86,0.2,"441,342.19","897,066.08",0.36,-0.18,-1.52,-1.42
92,FPT,3.2,96.8,92.4,83.0,99.0,93.01,3.61,"2,526,042.19","1,260,895.81",3.82,-0.05,-1.54,-1.44
93,NLG,3.2,39.0,37.2,30.3,39.65,35.28,2.37,"2,450,521.88","1,293,555.25",14.81,5.77,-1.56,-1.47
94,OIL,3.2,10.8,10.3,9.8,11.6,10.54,0.4,"1,389,580.02","974,718.44",0.0,0.0,-1.57,-1.47
95,VLC,3.2,16.5,15.7,14.0,16.6,15.07,0.7,"111,544.47","65,408.97",9.79,3.35,-1.64,-1.54
96,LPB,3.2,16.1,15.3,13.15,16.3,14.9,0.86,"3,162,076.56","1,959,022.08",-0.65,6.46,-1.68,-1.58
97,HNG,3.2,4.16,3.95,3.35,4.19,3.79,0.18,"2,295,037.50","1,118,603.40",10.34,1.95,-1.71,-1.61
98,DHM,3.2,8.2,7.78,7.12,8.29,7.85,0.28,"121,303.12","106,414.37",3.73,-1.38,-1.74,-1.63
99,DHC,3.2,40.19,38.1,37.21,47.06,41.96,2.65,"348,357.81","335,556.78",-0.61,-6.83,-1.76,-1.65
100,BSR,3.2,20.1,19.0,17.4,22.4,20.05,1.29,"9,623,680.06","3,727,188.80",1.6,-4.19,-1.86,-1.74
101,TIG,3.2,10.79,10.2,8.98,11.06,10.02,0.58,"1,122,531.27","777,668.80",6.12,2.53,-1.86,-1.74
102,SPI,3.2,3.6,3.4,3.2,4.4,3.57,0.25,"120,093.44","135,435.42",-5.56,-4.14,-1.89,-1.77
103,BKG,3.2,4.8,4.53,4.18,5.13,4.52,0.2,"170,195.31","272,280.17",3.9,1.58,-1.91,-1.79
104,VCB,3.2,90.1,85.0,84.5,90.2,87.0,1.7,"1,140,806.25","590,391.71",-4.49,-0.76,-1.92,-1.8
105,TCM,3.2,43.98,41.3,40.3,43.98,42.14,0.83,"593,543.75","229,841.78",-0.96,-0.51,-2.08,-1.95
106,TCH,3.2,13.0,12.2,10.15,14.5,12.23,0.87,"10,494,570.31","4,912,605.97",8.44,3.91,-2.09,-1.97
107,GAS,3.2,83.0,77.7,75.5,91.66,83.02,4.87,"562,678.12","204,489.74",-1.89,-4.84,-2.17,-2.04
108,AGR,3.2,16.72,15.65,11.75,19.56,15.79,1.74,"2,249,051.56","851,717.12",16.79,-2.61,-2.18,-2.05
109,BID,3.2,42.15,39.4,35.5,42.15,38.45,1.88,"954,779.69","351,030.91",6.6,2.21,-2.23,-2.09
110,VIP,3.2,12.0,11.2,10.35,12.5,11.42,0.49,"372,184.38","366,459.98",4.19,-0.22,-2.27,-2.13
111,GVR,3.2,21.61,20.15,16.6,22.79,19.96,1.34,"2,944,734.38","1,349,876.50",10.87,2.56,-2.31,-2.17
112,CIG,3.2,7.3,6.8,5.65,7.59,6.57,0.47,"185,775.00","144,303.55",13.33,1.27,-2.34,-2.19
113,TDT,3.2,7.19,6.7,6.6,7.38,7.0,0.22,"120,927.50","69,203.77",-4.29,-4.74,-2.33,-2.19
114,MBB,3.2,19.15,17.8,17.0,19.4,18.24,0.58,"9,276,982.81","4,741,086.19",0.56,-0.97,-2.41,-2.26
115,DPR,3.2,31.96,29.65,29.3,35.8,32.04,1.67,"235,475.00","123,014.68",-4.05,-2.98,-2.47,-2.32
116,TLH,3.2,8.48,7.85,6.21,10.1,7.82,0.81,"1,305,298.44","1,266,293.39",15.27,0.9,-2.54,-2.38
117,KBC,3.2,34.2,31.55,25.5,36.15,31.6,2.31,"9,262,371.88","3,616,185.97",10.7,1.54,-2.65,-2.49
118,VOS,3.2,12.2,11.25,8.4,13.85,11.57,1.53,"2,415,718.75","1,143,118.07",17.8,-6.79,-2.67,-2.5
119,MPC,3.2,19.3,17.8,16.3,20.0,18.26,1.14,"283,532.25","247,329.54",5.33,-3.96,-2.66,-2.5
120,CTP,3.2,5.0,4.6,4.2,5.1,4.62,0.23,"148,854.97","75,678.11",-6.12,-1.07,-2.74,-2.57
121,VIB,3.2,20.6,18.95,17.35,21.7,19.27,0.96,"4,380,845.31","3,326,866.56",2.16,0.13,-2.74,-2.58
122,HU4,3.2,14.8,13.6,10.2,19.5,14.0,2.44,"133,870.86","106,838.62",3.82,0.74,-2.78,-2.61
123,TNG,3.2,19.81,18.2,17.4,22.17,19.5,1.15,"2,392,144.83","1,251,555.90",-2.67,-6.66,-2.79,-2.62
124,QTP,3.2,15.9,14.6,13.5,16.0,14.83,0.76,"273,714.45","144,278.88",4.29,-2.31,-2.8,-2.63
125,CTI,3.2,15.85,14.55,14.0,17.0,15.2,0.74,"525,440.62","306,946.33",0.69,-2.8,-2.81,-2.64
126,TDP,3.2,32.4,29.7,29.1,33.9,31.85,1.26,"134,092.19","103,904.06",-4.19,-4.99,-2.86,-2.68
127,HCD,3.2,8.28,7.58,6.67,8.28,7.44,0.33,"370,004.69","239,240.36",-2.19,4.21,-2.9,-2.72
128,PLX,3.2,38.47,35.2,31.9,39.8,35.75,2.28,"1,008,489.06","516,854.88",5.39,-1.46,-2.92,-2.74
129,CCL,3.2,7.3,6.67,6.0,8.11,6.73,0.5,"198,350.00","181,471.10",5.71,1.3,-2.98,-2.8
130,BVS,3.2,27.43,25.0,21.6,29.55,25.5,1.68,"327,041.78","222,009.03",2.88,-1.73,-3.04,-2.85
131,QNS,3.2,50.8,46.3,43.9,52.2,48.02,1.86,"793,026.86","457,404.71",1.09,-2.29,-3.04,-2.86
132,HDC,3.2,36.2,32.95,28.05,38.0,32.79,2.44,"3,587,487.50","2,007,475.06",1.07,4.98,-3.09,-2.9
133,VCI,3.2,46.5,42.3,32.6,50.5,41.28,4.16,"6,661,373.44","2,175,713.91",13.71,2.96,-3.11,-2.91
134,MSH,3.2,43.0,39.1,33.5,47.3,40.91,3.63,"202,393.75","125,761.09",8.31,-5.08,-3.12,-2.93
135,VND,3.2,23.5,21.35,16.3,25.25,21.06,2.02,"26,642,123.44","8,888,983.50",15.09,2.43,-3.15,-2.95
136,FUESSVFL,3.2,19.65,17.84,16.92,19.97,18.49,0.79,"507,159.38","730,182.46",1.48,-0.91,-3.17,-2.97
137,DPG,3.2,42.3,38.4,33.45,46.3,38.59,3.39,"994,895.31","446,007.40",7.41,3.57,-3.17,-2.98
138,VGT,3.2,13.0,11.8,11.5,13.9,12.49,0.63,"639,945.50","639,883.87",-0.84,-4.36,-3.18,-2.98
139,GEG,3.2,14.6,13.25,12.15,15.9,13.85,0.91,"822,442.19","622,706.11",3.52,-5.54,-3.18,-2.99
140,TVN,3.2,6.84,6.2,5.51,7.5,6.37,0.49,"374,292.73","367,570.44",3.33,-0.56,-3.22,-3.02
141,FUEVFVND,3.2,27.4,24.84,23.17,27.83,25.72,1.18,"1,767,853.12","1,685,799.79",3.16,-2.07,-3.22,-3.02
142,PTL,3.2,4.51,4.08,3.74,6.47,4.72,0.79,"705,784.38","738,047.14",-0.49,-13.64,-3.28,-3.08
143,AMS,3.2,11.3,10.2,9.4,11.3,10.3,0.32,"150,130.75","104,641.30",-1.92,0.0,-3.36,-3.15
144,CTG,3.2,29.22,26.3,24.52,29.71,26.74,1.33,"3,983,048.44","2,415,629.13",4.03,0.84,-3.45,-3.23
145,FUEVN100,3.2,16.4,14.75,13.98,16.61,15.28,0.74,"135,690.62","81,846.13",1.72,-0.84,-3.47,-3.26
146,DXG,3.2,22.1,19.85,15.5,23.1,19.19,2.01,"19,552,306.25","7,182,584.43",10.28,5.6,-3.52,-3.3
147,REE,3.2,63.8,57.3,52.1,65.5,59.92,3.41,"484,184.38","287,246.79",4.95,-4.48,-3.52,-3.3
148,HVH,3.2,6.21,5.57,5.32,6.33,5.85,0.29,"131,162.50","29,185.64",3.34,-2.26,-3.56,-3.34
149,VIG,3.2,8.6,7.7,5.9,10.8,8.11,1.24,"843,164.84","623,398.20",13.24,-1.27,-3.62,-3.4
150,CVN,3.2,3.8,3.4,2.9,3.8,3.34,0.23,"183,194.52","143,340.88",3.03,4.73,-3.64,-3.42
151,BVH,3.2,44.37,39.7,37.98,44.72,40.9,1.88,"413,226.56","284,264.68",0.16,-1.66,-3.64,-3.42
152,VSC,3.2,31.0,27.7,23.5,33.2,27.85,2.4,"1,237,175.00","768,670.30",9.92,0.45,-3.68,-3.46
153,PET,3.2,29.0,25.85,21.05,31.3,26.02,2.42,"672,242.19","503,881.67",13.13,0.29,-3.76,-3.53
154,EVE,3.2,16.55,14.75,13.4,16.8,15.28,0.88,"206,039.06","147,385.65",8.46,-3.68,-3.77,-3.53
155,DDV,3.2,10.8,9.6,8.6,12.6,10.56,1.09,"1,059,362.22","971,587.36",4.35,-7.83,-3.85,-3.61
156,DPM,3.2,37.35,33.2,28.4,40.45,35.53,3.28,"3,351,975.00","1,555,848.43",7.62,-8.09,-3.85,-3.61
157,DTD,3.2,25.88,23.0,18.2,26.93,23.33,1.96,"781,264.58","342,480.37",9.0,-2.21,-3.86,-3.62
158,HDG,3.2,30.8,27.35,24.75,31.9,28.07,1.87,"1,770,784.38","1,217,152.54",1.67,0.74,-3.88,-3.64
159,DGW,3.2,58.03,51.5,42.05,61.57,53.74,4.57,"1,807,756.25","688,624.38",10.04,-2.95,-3.9,-3.66
160,CNG,3.2,31.55,28.0,25.7,34.8,29.72,2.08,"212,976.56","161,014.67",2.38,-3.23,-3.9,-3.66
161,DRI,3.2,8.0,7.1,6.7,8.4,7.42,0.42,"251,039.03","195,056.69",0.0,0.71,-3.9,-3.66
162,VDS,3.2,17.75,15.75,12.9,19.1,15.78,1.5,"803,029.69","484,646.32",9.38,3.33,-3.91,-3.67
163,HAP,3.2,5.21,4.62,4.49,5.32,4.8,0.26,"129,584.38","91,405.12",-0.65,-3.1,-3.93,-3.69
