,Symbol,Count Day,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Day 1,Day 2,Day 3,Day 4,Day 5,Day Full
88,HPP,5.0,77.0,79.8,77.0,80.9,79.54,1.48,"103,095.80","75,355.17",0.0,-0.13,-0.08,-0.34,0.72,0.72
89,EIN,5.0,13.6,14.1,13.6,14.6,14.14,0.36,"106,697.40","33,116.05",0.0,-0.35,-1.15,-0.18,0.72,0.72
90,HVN,5.0,24.9,25.8,24.9,26.2,25.42,0.56,"3,391,720.00","1,206,866.81",0.0,-0.77,1.06,0.59,0.71,0.71
91,VNG,5.0,16.9,17.5,16.9,17.7,17.27,0.32,"282,640.00","75,351.60",0.0,-0.57,0.68,0.58,0.7,0.7
92,LCM,5.0,7.1,7.35,7.1,8.0,7.57,0.36,"655,300.00","321,627.67",0.0,-2.93,-2.79,-0.8,0.69,0.69
93,CVN,5.0,11.4,11.8,11.1,11.8,11.38,0.29,"1,098,927.20","289,083.67",0.0,1.3,2.06,1.54,0.69,0.69
94,SSN,5.0,11.6,12.0,11.6,12.0,11.78,0.2,"214,600.00","154,686.89",0.0,1.71,0.0,0.63,0.68,0.68
95,OCH,5.0,14.4,14.9,14.4,15.8,15.02,0.52,"1,248,381.40","508,233.20",0.0,-0.99,0.22,-1.46,0.68,0.68
96,TNI,5.0,8.71,9.01,8.71,9.24,8.95,0.19,"2,849,740.00","1,308,863.62",0.0,-1.25,0.45,0.31,0.68,0.68
97,VTP,5.0,64.8,67.0,64.8,67.0,65.8,1.12,"171,995.60","59,535.20",0.0,0.0,1.12,0.61,0.67,0.67
98,VCS,5.0,105.8,109.4,104.8,109.4,106.1,1.91,"114,625.20","85,456.33",0.0,2.17,1.44,0.86,0.67,0.67
99,VTO,5.0,15.05,15.55,14.05,15.55,14.98,0.56,"2,012,640.00","538,851.17",0.0,0.98,1.21,2.57,0.66,0.66
100,SD6,5.0,9.0,9.3,8.7,9.7,9.18,0.37,"634,319.20","325,060.64",0.0,-2.08,0.36,1.68,0.66,0.66
101,PSH,5.0,28.35,29.25,27.15,29.3,28.62,0.91,"2,383,680.00","684,136.11",0.0,-0.09,0.23,1.88,0.63,0.63
102,VJC,5.0,134.2,138.5,134.2,140.0,137.74,2.26,"884,700.00","97,068.20",0.0,-0.18,-0.36,0.27,0.63,0.63
103,PRT,5.0,22.7,23.4,22.5,23.4,22.84,0.36,"133,266.00","39,868.34",0.0,0.87,1.17,0.99,0.61,0.61
104,ASM,5.0,17.95,18.5,17.2,18.5,17.86,0.52,"6,803,100.00","4,069,270.44",0.0,0.96,1.87,1.84,0.61,0.61
105,VFS,5.0,16.2,16.7,16.2,16.8,16.48,0.28,"182,192.20","66,581.66",0.0,-0.3,0.4,0.76,0.61,0.61
106,LUT,5.0,9.9,10.2,9.9,10.9,10.54,0.46,"892,117.40","1,345,329.70",0.0,-3.26,-2.19,-1.42,0.6,0.6
107,CSI,5.0,63.9,65.8,63.9,68.4,65.24,1.93,"106,180.40","11,687.34",0.0,-1.92,0.88,0.7,0.59,0.59
108,DPM,5.0,64.5,66.4,62.0,66.4,64.42,1.65,"8,613,320.00","1,990,798.69",0.0,1.94,0.56,1.73,0.58,0.58
109,AAS,5.0,31.4,32.3,31.4,32.7,32.06,0.49,"690,237.00","279,914.16",0.0,-0.61,0.21,0.39,0.57,0.57
110,HIG,5.0,10.5,10.8,10.5,10.8,10.64,0.15,"109,782.40","126,369.49",0.0,0.94,0.0,0.71,0.57,0.57
111,SCL,5.0,20.9,21.5,20.9,22.3,21.4,0.55,"151,633.80","27,683.23",0.0,-1.81,0.63,0.35,0.57,0.57
112,SVN,5.0,7.5,7.7,7.3,7.7,7.46,0.17,"151,344.00","75,274.28",0.0,1.32,1.79,1.34,0.53,0.53
113,BTN,5.0,7.4,7.6,7.0,7.8,7.4,0.32,"246,868.20","216,710.12",0.0,-1.29,2.78,1.36,0.53,0.53
114,TTH,5.0,7.4,7.6,7.2,7.6,7.4,0.16,"1,545,437.00","529,850.09",0.0,0.66,1.82,1.01,0.53,0.53
115,AGG,5.0,47.75,49.0,47.75,49.85,48.91,0.97,"924,160.00","482,529.95",0.0,-0.86,-0.57,0.46,0.52,0.52
116,ILA,5.0,11.8,12.1,11.8,12.5,12.2,0.26,"250,252.00","112,611.91",0.0,-0.82,-0.54,-0.81,0.5,0.5
117,TV3,5.0,24.2,24.8,24.2,25.0,24.62,0.35,"110,215.00","79,261.45",0.0,-0.4,0.0,0.51,0.49,0.49
118,HDC,5.0,98.6,101.0,94.9,101.6,98.22,3.19,"966,340.00","354,758.30",0.0,-0.3,2.06,1.57,0.48,0.48
119,ACV,5.0,89.3,91.4,88.0,91.4,89.58,1.25,"114,539.40","52,207.57",0.0,1.91,0.82,0.39,0.47,0.47
120,FTM,5.0,5.86,6.0,5.86,6.27,6.1,0.17,"1,703,280.00","589,059.33",0.0,-0.99,-1.3,-1.09,0.47,0.47
121,PVO,5.0,17.4,17.8,17.4,21.9,19.38,1.87,"437,327.20","178,929.72",0.0,-6.82,-6.68,-2.0,0.46,0.46
122,VTV,5.0,9.1,9.3,8.8,9.3,9.08,0.18,"290,827.20","154,278.65",0.0,1.09,0.73,1.39,0.44,0.44
123,VEA,5.0,45.1,46.1,45.0,46.9,45.64,0.84,"257,803.20","289,688.79",0.0,-0.86,0.81,0.55,0.44,0.44
124,VNP,5.0,28.2,28.8,27.7,28.8,28.22,0.53,"493,706.40","215,089.22",0.0,0.17,1.31,0.98,0.42,0.42
125,AAT,5.0,14.25,14.55,14.25,14.6,14.49,0.14,"808,800.00","235,938.89",0.0,0.0,-0.11,0.09,0.42,0.42
126,EVS,5.0,38.7,39.5,38.1,39.5,38.86,0.51,"251,358.80","231,995.03",0.0,0.64,0.43,0.91,0.41,0.41
127,VCR,5.0,46.1,47.0,45.8,47.3,46.44,0.67,"155,647.40","36,043.01",0.0,-0.32,0.87,0.54,0.39,0.39
128,C4G,5.0,22.4,22.8,22.4,22.8,22.64,0.15,"4,685,715.60","1,836,139.32",0.0,0.22,0.29,0.11,0.35,0.35
129,STB,5.0,31.5,32.05,30.85,32.05,31.41,0.46,"15,264,760.00","1,839,259.07",0.0,0.79,1.01,0.96,0.35,0.35
130,NED,5.0,11.4,11.6,11.4,11.6,11.44,0.09,"991,895.40","519,677.31",0.0,0.87,0.58,0.44,0.35,0.35
131,HII,5.0,13.96,14.2,13.53,14.2,13.84,0.27,"885,160.00","250,033.47",0.0,2.46,1.34,0.57,0.34,0.34
132,AGM,5.0,60.0,61.0,60.0,61.0,60.54,0.42,"308,300.00","58,096.56",0.0,0.08,0.27,0.29,0.33,0.33
133,DRC,5.0,32.9,33.45,32.9,34.2,33.55,0.46,"1,377,940.00","782,895.51",0.0,-0.22,-0.74,-0.11,0.33,0.33
134,MVC,5.0,12.6,12.8,12.6,13.1,12.86,0.19,"130,886.60","78,517.60",0.0,0.0,-0.52,-0.58,0.32,0.32
135,VNM,5.0,76.8,78.0,75.1,78.0,76.62,1.09,"2,842,440.00","499,395.94",0.0,0.58,1.27,0.62,0.31,0.31
136,NVL,5.0,76.0,77.2,76.0,77.2,76.54,0.55,"3,903,220.00","888,516.66",0.0,0.13,0.3,0.39,0.31,0.31
137,V21,5.0,12.8,13.0,11.9,13.0,12.46,0.52,"151,660.00","115,982.04",0.0,4.52,2.99,0.59,0.31,0.31
138,VGI,5.0,32.5,33.0,32.5,34.2,33.44,0.68,"873,577.40","560,087.03",0.0,-1.77,-0.7,-0.6,0.31,0.31
139,HAH,5.0,92.5,93.9,87.0,94.0,92.08,2.91,"1,504,100.00","546,029.56",0.0,-0.05,0.32,1.93,0.3,0.3
