,Symbol,Count Month,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Month 1,Month Full
103,HAR,1.05,4.17,4.31,4.12,4.52,4.28,0.12,"933,485.71","560,548.62",3.36,3.19
104,HSG,1.05,21.0,21.7,20.75,22.8,21.92,0.59,"10,547,623.81","3,758,675.79",3.33,3.17
105,PVT,1.05,25.3,26.1,25.2,27.3,26.27,0.54,"3,955,938.10","1,639,648.89",3.16,3.01
106,GMD,1.05,68.2,70.3,68.0,73.0,70.48,1.68,"974,490.48","503,492.24",3.08,2.93
107,HUT,1.05,19.6,20.2,19.1,20.9,19.93,0.55,"5,857,376.43","3,497,184.20",3.06,2.91
108,VIX,1.05,16.45,16.95,16.4,17.2,16.82,0.24,"22,039,942.86","10,604,638.31",3.04,2.89
109,DXG,1.05,18.25,18.8,18.25,19.75,19.08,0.36,"13,243,895.24","5,322,625.94",3.01,2.87
110,VTO,1.05,9.26,9.52,9.26,9.64,9.48,0.1,"168,352.38","80,891.07",2.81,2.67
111,GVR,1.05,19.85,20.4,19.45,21.8,20.61,0.76,"2,216,604.76","1,538,905.84",2.77,2.64
112,DSC,1.05,18.7,19.2,18.7,19.8,19.28,0.34,"296,287.86","276,810.35",2.67,2.54
113,HAG,1.05,13.45,13.8,12.4,14.1,13.37,0.43,"21,987,723.81","9,630,877.22",2.6,2.48
114,PVP,1.05,13.75,14.1,13.6,14.3,13.93,0.17,"266,280.95","224,600.20",2.55,2.42
115,IDC,1.05,49.74,51.0,48.57,52.07,50.25,0.91,"2,368,841.48","804,817.47",2.54,2.42
116,VHM,1.05,40.3,41.3,39.5,43.7,41.77,1.45,"6,285,852.38","2,489,776.86",2.48,2.36
117,NKG,1.05,22.8,23.35,22.75,24.65,23.84,0.54,"8,454,971.43","2,331,423.76",2.41,2.3
118,BVS,1.05,25.0,25.6,25.0,26.1,25.41,0.3,"170,380.76","131,941.97",2.4,2.28
119,DPR,1.05,29.6,30.3,29.1,31.8,30.57,0.96,"286,042.86","177,585.40",2.36,2.25
120,ELC,1.05,19.15,19.6,18.65,21.25,20.1,0.9,"446,080.95","195,717.23",2.35,2.24
121,HHV,1.05,15.05,15.4,15.05,16.2,15.51,0.36,"7,311,471.43","3,820,054.71",2.33,2.21
122,NED,1.05,4.8,4.9,4.7,5.1,4.86,0.12,"177,349.57","158,316.72",2.08,1.98
123,OIL,1.05,9.9,10.1,9.9,10.2,10.06,0.09,"589,286.38","243,525.23",2.02,1.92
124,TCH,1.05,12.5,12.75,12.5,13.5,13.06,0.24,"8,464,480.95","2,320,095.36",2.0,1.9
125,DBC,1.05,25.0,25.5,25.0,27.5,26.36,0.8,"9,325,585.71","3,000,925.45",2.0,1.9
126,DGT,1.05,5.1,5.2,4.8,5.8,5.3,0.3,"394,852.29","339,424.06",1.96,1.87
127,VGI,1.05,25.5,26.0,24.6,27.3,25.91,0.73,"640,613.62","454,280.41",1.96,1.87
128,POM,1.05,5.12,5.22,4.8,5.48,5.12,0.2,"2,447,809.52","1,146,083.41",1.95,1.86
129,AAA,1.05,9.32,9.5,9.01,9.74,9.42,0.2,"2,187,509.52","991,721.49",1.93,1.84
130,SZC,1.05,34.44,35.1,34.4,37.03,35.68,0.78,"1,567,185.71","887,373.94",1.91,1.82
131,GIL,1.05,25.0,25.45,24.65,26.25,25.27,0.46,"413,666.67","237,890.45",1.8,1.71
132,VIP,1.05,11.2,11.4,11.15,11.55,11.32,0.12,"139,223.81","57,008.10",1.79,1.7
133,PLX,1.05,34.35,34.95,33.8,35.45,34.58,0.46,"733,223.81","400,274.27",1.75,1.66
134,DLG,1.05,2.39,2.43,2.39,2.57,2.49,0.05,"2,327,452.38","1,405,736.73",1.67,1.59
135,VND,1.05,21.45,21.8,21.45,22.35,21.94,0.28,"20,962,857.14","8,210,271.83",1.63,1.55
136,NHH,1.05,18.7,19.0,18.15,19.2,18.69,0.29,"794,919.05","266,988.95",1.6,1.53
137,CTR,1.05,88.6,90.0,86.6,92.6,90.16,2.07,"292,338.10","165,968.31",1.58,1.5
138,PTB,1.05,56.12,57.0,56.12,58.85,56.92,0.66,"151,138.10","103,820.93",1.56,1.48
139,QNS,1.05,43.33,44.0,43.04,44.8,44.03,0.49,"516,190.10","149,543.49",1.55,1.47
140,NLG,1.05,35.85,36.4,35.7,38.05,36.87,0.58,"1,895,157.14","925,203.24",1.53,1.46
141,CDC,1.05,19.9,20.2,19.85,20.4,20.06,0.17,"714,880.95","85,738.65",1.51,1.44
142,SBT,1.05,13.3,13.5,13.2,13.9,13.38,0.19,"2,142,233.33","1,604,775.98",1.5,1.43
143,PHR,1.05,47.4,48.1,47.2,50.0,48.65,1.03,"275,466.67","137,596.15",1.48,1.41
144,AGG,1.05,24.6,24.95,24.6,26.5,25.39,0.59,"616,123.81","190,687.14",1.42,1.35
145,SBS,1.05,7.3,7.4,7.1,7.6,7.35,0.12,"1,193,779.33","491,240.76",1.37,1.3
146,POW,1.05,11.3,11.45,11.1,11.65,11.31,0.12,"4,884,785.71","2,290,632.50",1.33,1.26
147,EVS,1.05,8.2,8.3,8.1,8.7,8.41,0.17,"240,214.90","105,273.32",1.22,1.16
148,SHS,1.05,18.2,18.4,18.2,18.9,18.63,0.19,"16,536,957.33","6,038,712.62",1.1,1.05
149,CRE,1.05,8.17,8.26,8.02,8.79,8.4,0.24,"624,609.52","189,477.89",1.1,1.05
150,VRE,1.05,22.85,23.1,22.55,23.7,23.16,0.31,"3,788,485.71","1,498,404.64",1.09,1.04
151,HAX,1.05,14.0,14.15,13.9,14.45,14.13,0.15,"323,842.86","306,582.48",1.07,1.02
152,BMS,1.05,11.2,11.3,11.2,11.7,11.41,0.15,"146,824.38","83,289.10",0.89,0.85
153,MWG,1.05,41.6,41.9,39.6,43.85,42.35,0.99,"7,239,200.00","1,862,945.74",0.72,0.69
154,VSC,1.05,29.1,29.3,28.75,31.75,29.76,1.07,"1,763,309.52","1,808,042.35",0.69,0.65
155,DPG,1.05,38.2,38.4,37.85,40.6,39.09,0.79,"624,566.67","336,202.64",0.52,0.5
156,APH,1.05,7.56,7.6,7.4,7.83,7.61,0.12,"417,138.10","149,675.15",0.53,0.5
157,FIT,1.05,4.48,4.5,4.43,4.77,4.54,0.08,"1,452,138.10","710,614.24",0.45,0.43
158,TLH,1.05,8.01,8.04,8.01,8.45,8.21,0.13,"814,495.24","233,735.38",0.37,0.36
159,HPG,1.05,27.05,27.15,26.6,27.95,27.45,0.39,"24,288,052.38","7,653,449.91",0.37,0.35
160,DAG,1.05,3.22,3.23,3.15,3.28,3.21,0.04,"176,704.76","80,696.75",0.31,0.3
161,HQC,1.05,4.15,4.16,4.09,4.59,4.24,0.13,"11,938,661.90","6,185,759.53",0.24,0.23
162,ANV,1.05,30.55,30.6,29.6,32.15,31.0,0.65,"1,170,819.05","455,529.70",0.16,0.16
163,DXP,1.05,12.4,12.4,12.3,12.9,12.56,0.17,"303,581.48","116,621.38",0.0,0.0
164,CMS,1.05,17.9,17.9,17.9,21.1,19.18,0.69,"241,469.05","111,894.25",0.0,0.0
165,AMV,1.05,3.8,3.8,3.8,4.1,3.91,0.07,"1,278,870.90","1,638,500.70",0.0,0.0
166,NDN,1.05,9.8,9.8,9.5,10.1,9.8,0.16,"156,368.95","113,925.77",0.0,0.0
167,VJC,1.05,105.3,105.3,103.0,108.0,106.34,1.49,"898,614.29","373,444.75",0.0,0.0
168,VC2,1.05,10.1,10.1,9.9,10.6,10.32,0.22,"183,199.10","117,163.65",0.0,0.0
169,ACV,1.05,64.5,64.5,61.5,66.0,64.38,1.2,"217,804.10","136,822.92",0.0,0.0
170,BCA,1.05,6.0,6.0,5.9,7.4,6.53,0.56,"140,375.05","95,040.72",0.0,0.0
171,VPI,1.05,55.0,55.0,54.0,55.1,54.67,0.35,"1,129,876.19","220,123.64",0.0,0.0
172,BSR,1.05,18.4,18.4,18.2,18.9,18.54,0.17,"4,198,297.05","2,100,439.35",0.0,0.0
173,NVL,1.05,16.3,16.3,16.3,17.3,16.78,0.24,"15,816,457.14","8,731,238.93",0.0,0.0
174,TVN,1.05,6.3,6.3,6.3,6.4,6.35,0.05,"190,601.14","103,675.18",0.0,0.0
175,CEN,1.05,5.8,5.8,5.6,6.1,5.81,0.12,"472,430.62","255,707.31",0.0,0.0
176,DDV,1.05,9.5,9.5,9.5,9.8,9.59,0.07,"325,689.38","143,000.39",0.0,0.0
177,LSS,1.05,11.1,11.1,10.9,11.35,11.04,0.12,"433,028.57","270,629.33",0.0,0.0
178,NAF,1.05,15.25,15.25,15.1,15.7,15.34,0.2,"102,590.48","92,594.07",0.0,0.0
179,KOS,1.05,39.15,39.1,39.1,39.7,39.41,0.19,"361,095.24","96,771.70",-0.13,-0.12
180,VPH,1.05,8.21,8.2,8.1,8.7,8.3,0.14,"181,266.67","135,587.68",-0.12,-0.12
181,MSN,1.05,65.0,64.8,62.2,68.9,65.73,1.98,"2,394,657.14","735,965.65",-0.31,-0.29
182,KBC,1.05,31.0,30.9,30.15,32.3,31.45,0.52,"6,317,071.43","2,518,063.13",-0.32,-0.31
183,KDC,1.05,61.8,61.6,61.01,62.39,61.91,0.25,"825,057.14","113,498.35",-0.33,-0.31
184,TLD,1.05,5.25,5.23,5.23,5.65,5.34,0.11,"760,971.43","939,747.47",-0.38,-0.36
185,DGC,1.05,91.96,91.6,90.31,96.0,92.88,1.63,"2,025,952.38","1,079,262.55",-0.39,-0.37
186,DXS,1.05,7.41,7.38,7.25,7.8,7.46,0.15,"1,772,785.71","772,008.44",-0.4,-0.39
187,DAH,1.05,4.36,4.34,4.29,4.52,4.39,0.06,"227,133.33","203,304.64",-0.46,-0.44
188,SMC,1.05,10.15,10.1,10.05,10.7,10.3,0.18,"284,019.05","185,658.11",-0.49,-0.47
189,PTL,1.05,4.04,4.02,4.01,4.14,4.05,0.03,"196,214.29","86,969.40",-0.5,-0.47
190,TNG,1.05,19.8,19.7,19.6,20.5,20.0,0.23,"1,889,290.62","673,759.20",-0.51,-0.48
191,IPA,1.05,15.3,15.2,15.0,16.3,15.68,0.31,"276,478.38","142,090.11",-0.65,-0.62
192,SAB,1.05,61.51,61.1,60.05,62.4,61.17,0.68,"660,057.14","251,940.05",-0.67,-0.64
193,SHI,1.05,13.8,13.7,13.6,13.9,13.7,0.08,"458,066.67","565,001.16",-0.72,-0.69
194,BWE,1.05,41.6,41.3,39.8,42.5,40.9,0.71,"161,395.24","79,963.27",-0.72,-0.69
195,TNI,1.05,2.7,2.68,2.66,2.74,2.7,0.02,"136,409.52","105,411.31",-0.74,-0.71
196,PET,1.05,26.35,26.15,26.15,28.3,27.27,0.66,"613,485.71","357,553.86",-0.76,-0.72
197,DTD,1.05,24.6,24.4,24.0,25.8,24.97,0.54,"1,099,910.48","481,946.23",-0.81,-0.77
198,IDI,1.05,11.7,11.6,11.55,11.9,11.69,0.1,"1,632,866.67","579,461.58",-0.85,-0.81
199,TDC,1.05,9.85,9.76,9.69,10.0,9.82,0.09,"234,042.86","101,161.21",-0.91,-0.87
200,DRH,1.05,4.95,4.9,4.87,5.22,5.01,0.1,"1,339,400.00","681,387.21",-1.01,-0.96
201,SJS,1.05,68.7,68.0,67.7,70.4,69.28,0.85,"179,990.48","100,549.44",-1.02,-0.97
202,VNM,1.05,67.89,67.2,66.5,69.0,67.76,0.7,"2,470,961.90","666,081.64",-1.02,-0.97
203,IJC,1.05,14.2,14.05,13.6,14.4,14.05,0.22,"1,327,895.24","365,280.02",-1.06,-1.01
