,Symbol,Count Month,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month Full
143,VGI,6.1,21.3,24.2,19.9,24.6,21.73,1.21,"497,919.43","322,978.10",1.68,6.59,4.35,4.36,3.07,2.15,2.11
144,VHM,6.1,49.4,55.9,40.9,57.0,49.78,4.51,"1,942,231.15","980,771.34",4.1,6.81,3.11,7.22,3.62,2.08,2.05
145,EVS,6.1,11.9,13.4,8.6,14.6,10.76,1.68,"188,616.70","181,602.38",1.52,16.34,10.99,10.46,4.03,2.0,1.97
146,DRC,6.1,19.77,22.0,19.02,22.22,20.57,0.71,"299,175.41","230,517.77",4.56,5.62,1.2,1.23,1.12,1.8,1.77
147,DXG,6.1,13.6,14.9,9.81,16.0,13.12,1.51,"15,235,713.11","6,491,487.51",1.71,6.24,3.6,9.14,3.25,1.53,1.51
148,CTI,6.1,13.55,14.85,11.85,15.5,13.18,1.01,"466,418.85","338,586.53",3.12,11.48,5.91,4.72,3.51,1.54,1.51
149,NBB,6.1,13.55,14.85,11.95,15.85,13.46,0.84,"412,794.26","334,076.74",2.41,7.5,3.23,3.78,3.02,1.54,1.51
150,VOS,6.1,11.8,12.9,9.02,13.1,10.66,1.13,"1,510,439.34","1,145,766.97",1.57,8.54,8.32,8.61,5.37,1.5,1.47
151,DGC,6.1,58.57,63.8,48.47,66.0,54.48,4.68,"2,367,344.26","1,601,684.80",7.95,11.41,6.79,6.47,3.18,1.44,1.41
152,KDH,6.1,28.0,30.4,24.35,31.65,28.31,1.74,"1,718,151.64","862,405.18",1.84,0.33,1.41,4.19,2.25,1.38,1.36
153,E1VFVN30,6.1,17.7,19.2,17.22,19.59,18.27,0.52,"555,474.59","596,366.54",3.78,3.28,1.03,2.42,0.76,1.36,1.34
154,PVP,5.8,13.0,14.0,10.5,14.6,12.28,0.91,"274,531.44","238,013.12",2.56,4.79,6.32,4.15,4.47,1.24,1.29
155,FPT,6.1,80.0,86.4,77.5,87.3,81.34,2.39,"778,245.90","346,092.31",1.65,4.98,2.39,2.33,1.37,1.29,1.27
156,HBC,6.1,9.45,9.99,7.85,10.5,8.67,0.61,"3,051,141.80","2,065,303.64",20.65,11.19,5.53,4.74,1.49,0.93,0.92
157,REE,6.1,62.13,65.2,55.74,65.2,60.51,2.08,"461,302.46","407,535.47",4.32,6.42,2.41,2.7,0.69,0.81,0.79
158,FUEVFVND,6.1,22.82,23.9,21.7,24.46,22.81,0.67,"1,540,003.28","2,041,639.03",2.58,3.53,1.57,2.21,0.47,0.77,0.76
159,DGW,6.1,40.0,41.8,28.7,44.0,36.9,3.66,"1,481,792.62","922,393.63",11.62,11.62,9.43,4.46,0.39,0.74,0.72
160,TCM,6.1,54.23,56.5,46.79,58.17,51.29,2.37,"529,649.18","266,369.81",9.71,4.54,3.88,3.21,3.61,0.69,0.67
161,PVT,6.1,22.4,23.2,18.5,23.2,20.74,0.89,"2,623,128.69","1,305,833.98",7.16,7.17,1.79,2.4,4.63,0.59,0.58
