,Symbol,Count Day,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day Full
31,VC3,7.0,42.9,46.5,42.9,46.5,44.31,1.4,"124,589.00","20,338.31",0.0,1.09,1.02,1.45,1.48,1.27,1.16,1.16
32,DST,7.0,7.2,7.8,7.1,7.8,7.27,0.24,"237,680.00","125,156.70",0.0,4.81,2.23,2.38,1.61,1.34,1.15,1.15
33,BSR,7.0,23.1,25.0,22.8,25.0,24.01,0.87,"10,962,889.00","2,822,954.14",0.0,0.4,0.4,0.92,1.16,1.55,1.14,1.14
34,HII,7.0,7.25,7.85,7.25,7.85,7.72,0.21,"415,457.14","222,441.61",0.0,0.38,0.26,0.13,0.13,0.21,1.14,1.14
35,BKG,7.0,5.6,6.05,5.6,6.1,5.87,0.2,"108,814.29","44,565.88",0.0,0.42,-0.27,0.67,0.67,1.21,1.11,1.11
36,SDA,7.0,13.9,15.0,13.9,15.8,15.19,0.63,"215,401.14","86,461.97",0.0,-1.31,-1.72,-1.13,-0.4,-0.22,1.09,1.09
37,TCO,7.0,9.98,10.75,9.98,11.0,10.4,0.44,"160,057.14","210,638.08",0.0,-1.14,-0.31,1.45,1.26,1.23,1.07,1.07
38,HOM,7.0,6.8,7.3,6.8,7.4,7.04,0.23,"122,936.86","131,560.91",0.0,-0.68,1.41,1.05,0.84,1.19,1.02,1.02
39,MSH,7.0,44.5,47.7,44.4,48.65,46.51,1.8,"101,114.29","55,879.08",0.0,-0.83,-0.66,1.19,0.6,1.2,1.0,1.0
40,HTN,7.0,31.1,33.35,30.7,33.35,31.51,0.89,"250,871.43","151,656.24",0.0,3.39,1.44,1.84,1.28,1.39,1.0,1.0
41,SCR,7.0,10.45,11.2,10.45,11.3,10.85,0.4,"4,309,285.71","1,247,799.96",0.0,-0.44,-0.3,1.39,1.01,1.16,1.0,1.0
42,CNG,7.0,33.55,35.95,33.55,35.95,34.91,1.1,"182,400.00","64,151.57",0.0,0.28,0.05,0.32,1.03,1.13,0.99,0.99
43,SAB,7.0,154.9,166.0,154.0,166.0,158.67,5.08,"105,542.86","85,050.61",0.0,0.3,1.28,1.44,1.49,1.26,0.99,0.99
44,VIB,7.0,24.45,26.2,24.25,26.2,24.82,0.68,"2,056,771.43","1,148,653.92",0.0,2.17,1.78,1.9,1.27,1.3,0.99,0.99
45,VCG,7.0,19.7,21.1,19.7,21.1,20.58,0.56,"3,720,971.43","1,776,746.00",0.0,0.84,0.08,0.6,0.14,0.98,0.99,0.99
46,HDA,7.0,11.4,12.2,11.2,12.2,11.69,0.42,"601,531.43","331,765.05",0.0,0.41,0.83,0.84,1.73,1.44,0.97,0.97
47,PTC,7.0,9.91,10.6,9.91,11.5,10.74,0.6,"259,442.86","121,418.45",0.0,-2.5,-1.96,-2.02,-0.28,0.89,0.97,0.97
48,EVF,7.0,10.1,10.8,10.1,10.8,10.56,0.25,"257,585.71","73,673.68",0.0,0.0,0.15,0.71,0.57,0.47,0.96,0.96
49,SKG,7.0,17.3,18.5,17.0,18.5,17.7,0.7,"786,328.57","465,470.21",0.0,0.41,0.09,1.76,1.65,1.42,0.96,0.96
50,PVL,7.0,5.9,6.3,5.9,6.5,6.31,0.2,"718,451.71","379,740.25",0.0,-0.78,-0.52,0.0,-0.62,-0.26,0.94,0.94
51,G36,7.0,9.0,9.6,9.0,9.9,9.56,0.34,"498,354.86","197,965.92",0.0,-0.52,-1.02,0.0,-0.61,0.71,0.93,0.93
52,MSB,7.0,17.25,18.3,17.25,18.3,17.78,0.39,"2,130,414.29","645,008.58",0.0,0.27,0.55,0.98,0.78,0.75,0.85,0.85
53,CIG,7.0,6.6,7.0,6.6,7.4,7.08,0.29,"164,228.57","94,983.68",0.0,0.8,-1.84,-1.38,-0.56,-0.12,0.84,0.84
54,TTB,7.0,4.09,4.33,4.09,4.35,4.21,0.11,"421,471.43","118,006.76",0.0,0.47,-0.15,1.07,0.85,0.91,0.82,0.82
55,MSN,7.0,102.5,108.5,101.2,108.5,103.61,2.53,"679,671.43","344,842.79",0.0,1.41,1.75,1.56,1.12,1.17,0.82,0.82
56,TCD,7.0,11.05,11.7,11.05,11.8,11.5,0.3,"609,514.29","219,604.60",0.0,0.87,-0.28,0.11,0.0,0.88,0.82,0.82
57,SAM,7.0,11.05,11.7,11.05,12.15,11.7,0.34,"1,657,271.43","1,106,082.46",0.0,-0.84,-1.25,0.0,0.17,-0.14,0.82,0.82
58,PXL,7.0,8.7,9.2,8.7,9.2,8.97,0.18,"162,036.71","79,632.45",0.0,0.55,0.36,0.55,0.67,0.74,0.8,0.8
59,GEX,7.0,21.5,22.7,21.05,22.7,21.75,0.65,"8,049,328.57","2,244,387.44",0.0,1.01,0.67,1.49,1.52,1.23,0.78,0.78
60,HDG,7.0,44.8,47.3,44.45,47.3,45.99,1.25,"1,112,871.43","396,967.83",0.0,0.32,0.07,0.54,1.25,0.89,0.78,0.78
61,BCC,7.0,14.6,15.4,14.5,15.6,14.87,0.45,"628,172.00","382,763.05",0.0,-0.64,1.33,1.52,0.93,1.01,0.76,0.76
62,HAR,7.0,5.15,5.43,5.15,5.63,5.36,0.17,"762,757.14","296,975.44",0.0,-0.64,-1.2,0.23,0.87,0.56,0.76,0.76
63,PET,7.0,32.9,34.7,32.7,35.75,34.06,1.16,"510,828.57","199,077.37",0.0,-0.57,-0.99,0.51,0.83,0.99,0.76,0.76
64,DRI,7.0,11.39,12.0,11.29,12.0,11.57,0.24,"485,440.43","189,389.66",0.0,1.71,0.85,0.85,1.05,1.02,0.75,0.75
65,PHC,7.0,7.79,8.2,7.79,8.28,8.13,0.18,"196,100.00","96,098.92",0.0,0.06,-0.32,-0.21,0.0,0.5,0.74,0.74
66,MHC,7.0,6.33,6.66,6.33,6.66,6.54,0.13,"147,885.71","76,183.28",0.0,0.45,0.44,1.02,0.21,0.04,0.73,0.73
67,TNH,7.0,44.0,46.2,42.0,46.2,44.14,1.57,"450,042.86","218,523.93",0.0,0.0,1.56,2.41,1.45,1.01,0.7,0.7
68,CTR,7.0,62.8,65.9,62.3,65.9,64.09,1.71,"284,400.00","174,591.82",0.0,0.0,0.0,1.41,0.97,0.75,0.69,0.69
69,NAG,7.0,12.4,13.0,12.4,13.0,12.77,0.21,"348,294.00","613,898.11",0.0,0.78,0.26,0.39,0.15,0.52,0.68,0.68
70,VHC,7.0,80.0,83.9,80.0,85.8,83.17,2.11,"863,485.71","185,835.04",0.0,-0.06,-0.74,-0.06,0.0,0.69,0.68,0.68
71,CEO,7.0,29.3,30.7,29.3,32.5,30.59,1.16,"6,677,125.57","2,410,204.63",0.0,-1.59,-1.88,0.58,0.8,0.16,0.67,0.67
72,IDC,7.0,58.2,61.0,56.7,61.0,58.79,1.32,"2,237,535.43","551,977.73",0.0,1.94,1.35,0.54,0.81,1.23,0.67,0.67
73,ITD,7.0,11.6,12.15,11.6,12.3,11.96,0.27,"115,771.43","79,208.14",0.0,-0.21,-0.41,0.52,0.42,0.7,0.66,0.66
74,TIS,7.0,8.6,9.0,8.6,9.6,9.17,0.34,"166,428.71","117,770.78",0.0,-2.67,-2.13,-0.82,0.0,-0.37,0.65,0.65
75,KDC,7.0,61.4,64.2,61.3,64.2,61.87,1.05,"1,283,114.29","228,420.00",0.0,1.76,1.5,1.16,0.93,0.72,0.64,0.64
76,BCM,7.0,63.6,66.5,61.5,66.5,63.21,1.59,"156,042.86","139,629.77",0.0,3.4,1.82,1.97,1.12,0.96,0.64,0.64
77,HAH,7.0,63.1,66.0,62.0,67.9,64.6,2.22,"1,075,114.29","491,881.77",0.0,-0.38,-0.94,0.77,1.03,1.05,0.64,0.64
78,CTC,7.0,4.4,4.6,4.4,4.6,4.5,0.08,"318,156.14","137,794.84",0.0,2.25,0.74,0.55,0.44,0.0,0.64,0.64
79,REE,7.0,77.5,80.9,77.5,82.5,80.13,1.94,"885,957.14","296,207.26",0.0,-0.49,-0.65,-0.09,0.43,0.63,0.62,0.62
80,PXS,7.0,4.5,4.7,4.4,5.1,4.69,0.27,"412,366.14","209,425.50",0.0,-3.05,-2.69,0.54,0.87,1.11,0.62,0.62
81,NHH,7.0,13.8,14.4,13.8,14.4,14.09,0.22,"219,328.57","69,578.17",0.0,1.42,0.23,0.71,0.28,0.59,0.61,0.61
82,TPB,7.0,26.9,28.05,26.9,28.45,27.6,0.64,"1,769,314.29","940,076.67",0.0,-0.44,-0.47,0.82,0.58,0.58,0.6,0.6
83,CDC,7.0,17.85,18.6,17.85,18.6,18.34,0.25,"112,442.86","24,557.34",0.0,0.13,0.36,0.27,0.33,0.32,0.59,0.59
84,PLX,7.0,40.1,41.8,39.8,42.85,41.32,1.24,"546,142.86","317,570.92",0.0,-0.65,-0.82,-0.18,0.76,0.82,0.59,0.59
85,PC1,7.0,35.2,36.65,35.2,37.95,36.39,0.97,"1,225,185.71","451,987.25",0.0,-0.88,-1.16,0.38,0.58,0.35,0.58,0.58
86,VGI,7.0,31.2,32.5,30.6,32.8,31.84,0.94,"1,088,456.57","407,319.22",0.0,-0.46,-0.1,0.08,1.21,0.9,0.58,0.58
87,QBS,7.0,3.9,4.06,3.73,4.08,3.94,0.13,"807,171.43","238,590.19",0.0,-0.25,0.5,0.44,1.07,1.42,0.58,0.58
88,BSI,7.0,24.6,25.6,23.8,25.6,24.74,0.75,"667,914.29","221,496.27",0.0,0.29,0.2,1.84,1.13,1.01,0.57,0.57
89,PVG,7.0,10.0,10.4,9.9,10.4,10.1,0.16,"271,933.43","131,848.00",0.0,1.47,0.65,0.73,0.79,0.82,0.56,0.56
90,FCN,7.0,14.35,14.9,14.05,15.2,14.73,0.4,"2,931,985.71","648,400.74",0.0,0.34,-0.66,0.17,-0.13,0.98,0.54,0.54
91,HDC,7.0,41.5,43.1,40.85,44.15,42.34,1.28,"1,638,414.29","261,561.70",0.0,-0.63,-0.8,1.07,1.08,0.51,0.54,0.54
92,MST,7.0,7.9,8.2,7.9,8.3,8.16,0.14,"460,529.29","244,222.46",0.0,-0.6,-0.4,0.0,0.25,0.2,0.53,0.53
93,NT2,7.0,24.1,25.0,23.8,25.75,24.75,0.82,"1,559,185.71","818,047.26",0.0,-0.59,-0.98,-0.45,0.99,0.79,0.53,0.53
