,Symbol,Count Day,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Day 1,Day 2,Day 3,Day 4,Day Full
392,ITA,4.0,16.35,15.8,15.8,16.35,16.04,0.23,"11,215,225.00","3,727,084.69",0.0,-0.63,-0.42,-0.85,-0.85
393,BWE,4.0,49.25,47.55,47.55,49.25,48.48,0.79,"379,875.00","64,028.14",0.0,-1.49,-0.38,-0.87,-0.87
394,SBT,4.0,24.55,23.7,23.7,24.55,24.17,0.38,"6,456,100.00","1,567,154.48",0.0,-1.44,-0.49,-0.88,-0.88
395,FLC,4.0,13.0,12.55,12.55,13.0,12.81,0.21,"19,342,025.00","4,348,005.21",0.0,-1.56,-0.53,-0.88,-0.88
396,SCI,4.0,28.8,27.8,27.7,28.8,28.0,0.54,"218,078.50","36,722.05",0.0,0.18,0.12,-0.88,-0.88
397,PXI,4.0,7.95,7.67,7.67,8.2,7.93,0.22,"652,800.00","187,088.98",0.0,-1.47,-2.2,-0.89,-0.89
398,PLP,4.0,16.8,16.2,16.2,16.8,16.64,0.29,"1,170,325.00","481,669.63",0.0,-1.66,-1.2,-0.91,-0.91
399,DID,4.0,13.8,13.3,13.3,14.1,13.68,0.35,"173,475.00","128,175.51",0.0,-2.88,-0.5,-0.92,-0.92
400,TCH,4.0,21.8,21.0,21.0,21.8,21.45,0.33,"7,852,450.00","2,384,711.16",0.0,-1.28,-0.7,-0.93,-0.93
401,ASP,4.0,16.2,15.6,15.6,16.9,16.18,0.54,"838,825.00","222,564.71",0.0,-1.26,-2.63,-0.94,-0.94
402,DVN,4.0,26.6,25.6,25.6,26.6,26.25,0.47,"689,758.00","430,585.80",0.0,-1.9,-0.77,-0.95,-0.95
403,HPG,4.0,49.45,47.6,47.6,49.85,49.01,0.98,"36,613,275.00","7,615,979.15",0.0,-1.59,-1.53,-0.95,-0.95
404,TDC,4.0,24.1,23.2,23.2,24.1,23.69,0.38,"756,800.00","215,773.00",0.0,-1.27,-0.64,-0.95,-0.95
405,APH,4.0,26.25,25.25,25.25,26.25,25.79,0.42,"4,109,700.00","706,146.99",0.0,-0.88,-0.91,-0.97,-0.97
406,VC7,4.0,23.5,22.6,22.6,23.5,23.15,0.44,"348,936.00","148,992.12",0.0,-1.93,-0.58,-0.97,-0.97
407,CTS,4.0,38.7,37.2,37.2,38.7,38.15,0.69,"692,850.00","200,309.47",0.0,-1.83,-0.79,-0.98,-0.98
408,PGS,4.0,28.6,27.5,27.5,30.0,28.7,1.02,"147,700.00","106,618.79",0.0,-2.11,-2.86,-0.98,-0.98
409,AMD,4.0,7.08,6.8,6.8,7.08,6.94,0.12,"6,685,475.00","2,214,557.64",0.0,-1.37,-0.34,-1.0,-1.0
410,APG,4.0,17.8,17.1,17.1,17.8,17.54,0.31,"5,316,175.00","4,233,810.69",0.0,-1.71,-0.86,-1.0,-1.0
411,HCM,4.0,37.7,36.2,36.2,37.7,37.08,0.63,"4,877,600.00","1,415,618.57",0.0,-1.49,-0.82,-1.01,-1.01
412,BVS,4.0,39.8,38.2,38.2,39.8,39.15,0.79,"512,126.00","156,026.79",0.0,-2.03,-0.52,-1.02,-1.02
413,PGC,4.0,26.05,25.0,25.0,26.8,26.0,0.74,"238,875.00","78,683.14",0.0,-2.22,-2.29,-1.02,-1.02
414,TCI,4.0,19.7,18.9,18.9,19.7,19.25,0.33,"868,366.75","327,245.81",0.0,-0.78,-0.52,-1.03,-1.03
415,PAN,4.0,33.0,31.65,31.65,33.0,32.47,0.58,"3,114,450.00","477,434.74",0.0,-1.39,-1.08,-1.04,-1.04
416,TIG,4.0,26.7,25.6,25.6,26.7,26.25,0.47,"657,884.50","214,624.77",0.0,-1.34,-1.02,-1.05,-1.05
417,MAC,4.0,9.5,9.1,9.1,9.6,9.43,0.22,"301,768.50","62,528.56",0.0,-2.13,-1.77,-1.07,-1.07
418,SSI,4.0,47.0,45.0,45.0,47.0,46.3,0.89,"15,477,500.00","6,800,712.42",0.0,-1.73,-1.16,-1.08,-1.08
419,FTM,4.0,6.27,6.0,6.0,6.27,6.16,0.12,"1,660,700.00","671,243.24",0.0,-0.99,-1.3,-1.09,-1.09
420,CII,4.0,31.1,29.75,29.75,31.1,30.5,0.6,"8,622,050.00","3,234,274.14",0.0,-1.8,-0.61,-1.1,-1.1
421,TVD,4.0,20.7,19.8,19.8,21.7,20.93,0.87,"1,302,239.25","440,767.33",0.0,-4.48,-2.71,-1.11,-1.11
422,SHS,4.0,43.2,41.3,41.3,43.2,42.45,0.82,"5,545,474.00","1,853,861.71",0.0,-1.77,-0.95,-1.12,-1.12
423,CTD,4.0,89.0,85.0,85.0,89.0,86.2,1.9,"600,050.00","128,806.69",0.0,0.0,-0.31,-1.14,-1.14
424,AMV,4.0,13.3,12.7,12.7,13.3,13.05,0.26,"2,077,756.00","1,094,777.96",0.0,-1.91,-0.78,-1.15,-1.15
425,PXT,4.0,10.9,10.4,10.4,12.0,11.15,0.68,"785,517.00","219,571.26",0.0,-4.06,-4.66,-1.17,-1.17
426,MBS,4.0,37.6,35.8,35.8,37.6,36.77,0.77,"1,247,915.25","492,982.08",0.0,-1.77,-0.73,-1.22,-1.22
427,DPR,4.0,80.0,76.1,76.1,80.0,78.9,1.88,"631,650.00","403,982.45",0.0,-2.16,-1.65,-1.24,-1.24
428,GVR,4.0,36.3,34.5,34.5,36.3,35.59,0.79,"2,491,075.00","990,789.96",0.0,-1.49,-1.41,-1.26,-1.26
429,HU4,4.0,22.0,20.9,20.9,22.0,21.6,0.48,"102,581.25","40,667.01",0.0,-2.09,-1.24,-1.27,-1.27
430,PVT,4.0,27.7,26.3,26.3,28.45,27.53,0.89,"9,215,175.00","2,888,229.83",0.0,-2.47,-2.59,-1.29,-1.29
431,VMG,4.0,11.8,11.2,11.2,12.6,11.88,0.57,"106,850.00","32,962.05",0.0,-2.99,-3.85,-1.3,-1.3
432,HSV,4.0,13.6,12.9,12.9,13.6,13.22,0.3,"174,629.25","124,458.29",0.0,-0.77,-1.01,-1.31,-1.31
433,VGC,4.0,53.8,51.0,51.0,53.8,52.75,1.22,"1,120,900.00","584,850.79",0.0,-2.18,-1.21,-1.33,-1.33
434,PHR,4.0,78.6,74.5,74.5,78.6,77.38,1.94,"859,150.00","454,574.52",0.0,-2.21,-1.73,-1.33,-1.33
435,PLX,4.0,61.3,58.0,58.0,63.0,60.9,2.09,"3,786,375.00","1,295,861.26",0.0,-2.73,-2.72,-1.37,-1.37
436,PVC,4.0,31.3,29.6,29.6,34.4,32.02,2.05,"4,765,799.75","619,131.80",0.0,-5.0,-4.89,-1.39,-1.39
437,TID,4.0,54.0,51.0,51.0,54.0,52.52,1.24,"163,199.25","58,283.12",0.0,-1.72,-0.84,-1.42,-1.42
438,LUT,4.0,10.8,10.2,10.2,10.9,10.7,0.34,"953,671.75","1,545,301.40",0.0,-3.26,-2.19,-1.42,-1.42
439,PTV,4.0,19.5,18.4,18.4,22.3,20.52,1.88,"282,844.50","122,693.29",0.0,-8.34,-6.21,-1.44,-1.44
440,OCH,4.0,15.8,14.9,14.8,15.8,15.18,0.45,"1,240,662.75","586,518.66",0.0,-0.99,0.22,-1.46,-1.46
441,TDG,4.0,13.0,12.25,12.25,13.15,12.81,0.39,"1,042,750.00","585,696.02",0.0,-2.36,-2.34,-1.47,-1.47
442,POW,4.0,17.2,16.15,16.15,17.2,16.68,0.43,"18,309,025.00","3,476,143.33",0.0,-1.36,-1.21,-1.56,-1.56
443,TIP,4.0,55.5,52.1,52.1,55.5,54.08,1.43,"313,150.00","125,717.69",0.0,-2.23,-1.31,-1.57,-1.57
444,API,4.0,70.4,66.0,66.0,70.4,68.5,1.83,"144,512.50","31,128.29",0.0,-2.13,-1.33,-1.6,-1.6
445,BOT,4.0,15.9,14.9,14.9,16.5,15.8,0.66,"1,674,867.00","467,361.66",0.0,-3.2,-3.34,-1.61,-1.61
446,DRH,4.0,18.26,17.1,17.1,18.33,17.87,0.57,"2,940,425.00","1,576,759.82",0.0,-1.97,-2.29,-1.62,-1.62
447,IDC,4.0,74.0,69.3,69.3,74.0,71.75,1.93,"2,502,331.75","1,257,057.03",0.0,-1.96,-1.08,-1.63,-1.63
448,VE9,4.0,7.8,7.3,7.3,8.0,7.78,0.33,"466,782.00","331,184.33",0.0,-4.48,-3.01,-1.64,-1.64
449,NBB,4.0,32.4,30.3,30.3,32.4,31.52,0.89,"1,767,175.00","483,594.90",0.0,-2.46,-1.34,-1.66,-1.66
450,GAS,4.0,120.7,112.9,112.9,122.2,118.58,4.08,"1,326,850.00","275,990.83",0.0,-2.39,-2.6,-1.66,-1.66
451,FTS,4.0,56.2,52.5,52.5,56.2,54.95,1.72,"536,025.00","126,348.36",0.0,-2.3,-2.19,-1.69,-1.69
452,AAV,4.0,24.0,22.4,22.4,24.0,23.15,0.66,"636,171.75","65,470.81",0.0,-1.31,-1.16,-1.71,-1.71
453,IDJ,4.0,31.1,29.0,29.0,31.1,30.35,0.93,"1,484,223.75","436,766.75",0.0,-2.81,-1.77,-1.73,-1.73
454,CNG,4.0,39.5,36.7,36.7,40.0,38.8,1.46,"508,150.00","181,238.56",0.0,-2.99,-2.83,-1.82,-1.82
455,APS,4.0,33.6,31.2,31.2,33.6,32.73,1.07,"1,955,054.50","606,750.45",0.0,-3.2,-1.65,-1.84,-1.84
456,PFL,4.0,13.8,12.8,12.8,13.8,13.35,0.44,"963,951.75","208,732.38",0.0,-1.53,-2.0,-1.86,-1.86
457,NBC,4.0,23.6,21.8,21.8,25.0,23.65,1.36,"1,195,153.75","317,337.02",0.0,-5.09,-4.46,-1.96,-1.96
458,PMB,4.0,24.8,22.9,22.9,25.5,24.05,1.3,"184,580.50","68,162.93",0.0,-0.22,-3.52,-1.97,-1.97
459,TC6,4.0,17.0,15.7,15.7,18.2,17.07,1.04,"1,196,750.00","592,902.58",0.0,-5.01,-4.81,-1.97,-1.97
460,PXL,4.0,16.9,15.6,15.6,16.9,16.23,0.54,"658,830.00","185,366.72",0.0,-1.57,-1.45,-1.98,-1.98
461,PVO,4.0,19.3,17.8,17.8,21.9,19.88,1.74,"467,123.75","191,752.18",0.0,-6.82,-6.68,-2.0,-2.0
462,THT,4.0,18.6,17.1,17.1,19.1,18.4,0.89,"574,331.25","225,416.53",0.0,-4.63,-3.62,-2.08,-2.08
463,CST,4.0,21.7,19.9,19.9,22.0,21.27,0.94,"912,501.75","318,984.66",0.0,-3.79,-3.29,-2.14,-2.14
464,HTP,4.0,45.9,41.9,40.2,45.9,43.05,2.51,"134,425.00","16,263.53",0.0,2.09,-1.77,-2.25,-2.25
465,SMT,4.0,28.2,25.5,25.5,28.2,26.85,1.56,"241,308.25","69,895.16",0.0,0.0,-3.3,-2.48,-2.48
466,PCG,4.0,12.3,11.1,11.1,12.5,12.0,0.62,"227,249.25","43,088.32",0.0,-4.22,-3.88,-2.53,-2.53
467,DS3,4.0,10.2,9.2,9.2,10.2,9.75,0.53,"215,226.50","112,256.98",0.0,-1.07,-3.38,-2.55,-2.55
468,MDC,4.0,18.7,16.8,16.8,19.0,18.23,0.98,"103,735.25","26,138.63",0.0,-4.45,-4.02,-2.64,-2.64
469,MSN,4.0,158.8,142.5,142.5,158.8,151.7,7.13,"1,080,000.00","409,715.66",0.0,-2.53,-2.87,-2.67,-2.67
470,PTC,4.0,76.4,68.1,68.1,76.4,72.2,3.5,"1,003,725.00","638,598.12",0.0,-3.55,-1.43,-2.83,-2.83
471,HU1,4.0,17.15,15.1,15.1,17.15,16.27,0.98,"110,925.00","37,044.15",0.0,-2.39,-3.87,-3.13,-3.13
472,PBP,4.0,44.1,38.5,37.9,44.1,40.65,2.95,"140,641.25","32,994.28",0.0,0.79,-2.94,-3.34,-3.34
473,TSC,4.0,22.6,19.6,19.6,22.6,21.08,1.23,"12,621,200.00","6,493,172.18",0.0,-3.51,-2.35,-3.5,-3.5
474,VRC,4.0,30.9,26.5,26.5,30.9,28.77,1.88,"420,075.00","73,344.05",0.0,-3.06,-3.51,-3.77,-3.77
475,HLC,4.0,21.9,18.5,18.5,21.9,20.6,1.52,"124,222.00","57,473.57",0.0,-5.0,-4.89,-4.13,-4.13
