,Symbol,Count Day,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Day 1,Day 2,Day 3,Day 4,Day Full
94,VHG,4.0,9.9,10.3,9.9,10.6,10.17,0.34,"9,980,640.25","3,875,247.96",0.0,-1.43,1.33,1.0,1.0
95,PRT,4.0,22.5,23.4,22.5,23.4,22.88,0.41,"146,907.50","29,643.02",0.0,0.87,1.17,0.99,0.99
96,VNP,4.0,27.7,28.8,27.7,28.8,28.23,0.61,"466,083.00","237,902.26",0.0,0.17,1.31,0.98,0.98
97,KSQ,4.0,7.6,7.9,7.6,8.1,7.82,0.22,"732,694.75","295,315.48",0.0,-1.24,0.86,0.97,0.97
98,STB,4.0,30.85,32.05,30.85,32.05,31.39,0.53,"14,899,075.00","1,902,365.66",0.0,0.79,1.01,0.96,0.96
99,PV2,4.0,7.9,8.2,7.8,8.5,8.1,0.32,"748,490.00","469,533.19",0.0,-1.78,1.68,0.94,0.94
100,BVG,4.0,8.0,8.3,8.0,8.3,8.15,0.17,"505,862.00","111,015.71",0.0,0.0,1.23,0.92,0.92
101,EVS,4.0,38.1,39.5,38.1,39.5,38.9,0.58,"302,822.50","232,605.92",0.0,0.64,0.43,0.91,0.91
102,QTP,4.0,19.2,19.9,18.9,19.9,19.38,0.43,"2,342,482.50","2,053,554.33",0.0,1.02,1.73,0.9,0.9
103,ITD,4.0,16.6,17.2,16.1,17.2,16.7,0.47,"517,400.00","132,526.75",0.0,0.88,2.23,0.89,0.89
104,VCS,4.0,105.7,109.4,104.8,109.4,106.17,2.19,"124,034.50","95,638.98",0.0,2.17,1.44,0.86,0.86
105,PAS,4.0,23.7,24.5,23.7,24.5,24.12,0.35,"2,333,802.50","261,840.54",0.0,0.41,0.69,0.83,0.83
106,TCM,4.0,71.4,73.8,69.0,73.8,71.18,2.01,"1,429,925.00","539,875.11",0.0,2.31,2.27,0.83,0.83
107,DGC,4.0,182.0,188.1,182.0,189.0,186.53,3.13,"2,449,925.00","754,038.37",0.0,0.29,-0.16,0.83,0.83
108,IDI,4.0,18.8,19.4,18.8,20.85,19.64,0.87,"6,073,525.00","2,124,628.06",0.0,-3.54,-0.17,0.79,0.79
109,TDH,4.0,11.1,11.45,11.1,11.7,11.41,0.25,"379,150.00","196,823.74",0.0,-1.07,0.15,0.78,0.78
110,CMX,4.0,19.15,19.75,18.75,20.05,19.42,0.59,"1,981,050.00","279,530.67",0.0,-0.75,1.75,0.77,0.77
111,PLC,4.0,45.6,47.0,45.6,47.0,46.12,0.62,"759,115.50","249,860.40",0.0,1.3,0.65,0.76,0.76
112,VFS,4.0,16.2,16.7,16.2,16.8,16.55,0.26,"193,572.75","71,044.89",0.0,-0.3,0.4,0.76,0.76
113,HUT,4.0,35.8,36.9,35.5,36.9,36.0,0.62,"3,497,746.50","894,272.85",0.0,1.95,1.01,0.76,0.76
114,VKC,4.0,13.2,13.6,13.2,14.6,13.68,0.64,"1,444,520.25","647,865.47",0.0,-3.49,0.75,0.75,0.75
115,SHA,4.0,8.2,8.45,8.19,8.45,8.3,0.13,"247,250.00","167,295.64",0.0,0.6,1.05,0.75,0.75
116,HDG,4.0,67.5,69.5,67.5,69.7,68.9,0.99,"1,537,425.00","653,241.73",0.0,-0.14,0.29,0.73,0.73
