,Symbol,Count Year,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Year 1,Year Full
245,LIG,1.0,3.9,4.2,3.6,6.5,4.58,0.73,"1,161,606.49","1,001,322.54",7.69,7.69
246,VEA,1.0,33.38,35.8,31.69,36.58,33.74,0.83,"389,543.89","521,604.97",7.25,7.25
247,DVG,1.0,2.9,3.1,2.6,4.7,3.29,0.53,"383,370.21","367,345.32",6.9,6.9
248,C4G,1.0,10.85,11.6,9.55,15.3,12.17,1.36,"2,817,685.33","1,905,671.26",6.88,6.88
249,VOC,1.0,19.47,20.8,17.87,25.25,21.5,1.46,"132,738.77","166,589.97",6.85,6.85
250,VSC,1.0,27.55,29.3,23.5,35.18,28.41,2.57,"1,003,827.31","1,035,907.07",6.37,6.37
251,CKG,1.0,19.0,20.2,18.95,31.55,23.31,2.27,"197,134.14","211,226.05",6.32,6.32
252,VPB,1.0,18.49,19.65,15.92,21.64,19.23,1.22,"15,019,914.06","7,925,445.25",6.26,6.26
253,VPI,1.0,51.99,55.0,50.8,56.8,53.44,1.48,"777,679.52","227,032.15",5.79,5.79
254,BIC,1.0,25.26,26.7,23.55,30.02,26.24,1.13,"101,884.74","178,769.35",5.71,5.71
255,KSQ,1.0,1.8,1.9,1.4,2.9,2.1,0.36,"137,825.66","143,383.49",5.56,5.56
256,G36,1.0,7.3,7.7,6.4,10.8,8.06,1.27,"628,671.67","525,294.03",5.48,5.48
257,MSB,1.0,13.25,13.95,11.75,15.1,13.0,0.76,"5,765,346.18","5,343,425.86",5.28,5.28
258,TEG,1.0,9.32,9.79,7.12,10.9,9.15,1.06,"143,392.37","130,666.28",5.0,5.0
259,OGC,1.0,7.78,8.15,5.59,9.8,7.91,0.88,"1,152,622.09","864,273.84",4.76,4.76
260,EIB,1.0,18.89,19.75,14.83,22.04,17.84,1.52,"6,651,730.12","4,967,013.27",4.55,4.55
261,NRC,1.0,4.5,4.7,3.7,7.3,5.15,0.95,"1,432,525.61","1,032,201.56",4.44,4.44
262,TKG,1.0,12.8,13.3,5.4,16.0,11.62,3.11,"226,408.55","322,824.52",3.91,3.91
263,CMX,1.0,8.15,8.46,7.62,11.7,9.34,1.0,"926,075.90","674,485.27",3.8,3.8
264,BMI,1.0,21.11,21.8,20.04,26.45,22.44,1.44,"198,626.10","152,184.86",3.25,3.25
265,CVN,1.0,3.1,3.2,2.9,4.6,3.51,0.35,"317,187.73","429,878.64",3.23,3.23
266,KDC,1.0,60.03,61.6,52.06,65.84,61.51,2.62,"1,003,302.81","350,176.11",2.62,2.62
267,TDP,1.0,28.57,28.95,27.5,34.8,30.39,1.79,"124,980.72","87,900.21",1.33,1.33
268,DCL,1.0,24.3,24.6,22.0,28.1,23.69,1.18,"100,493.17","57,268.33",1.23,1.23
269,HAX,1.0,13.98,14.15,12.15,17.15,14.46,1.03,"742,128.92","714,074.07",1.18,1.18
270,MWG,1.0,41.5,41.9,35.1,57.5,43.9,5.58,"5,514,146.18","3,837,446.99",0.96,0.96
271,BOT,1.0,2.9,2.9,2.2,6.0,3.7,0.99,"696,771.92","650,118.97",0.0,0.0
272,NT2,1.0,25.9,25.85,22.45,31.89,26.86,2.28,"684,236.55","385,750.54",-0.19,-0.19
273,HID,1.0,3.06,3.05,2.88,4.1,3.29,0.32,"188,351.81","203,090.46",-0.33,-0.33
274,HDG,1.0,25.12,25.0,22.4,33.4,27.83,2.63,"1,449,299.20","934,114.86",-0.48,-0.48
275,CRE,1.0,8.3,8.26,6.3,10.9,8.33,1.04,"1,057,875.10","1,091,437.08",-0.48,-0.48
276,SKG,1.0,14.32,14.2,12.5,21.6,16.43,2.41,"621,834.94","587,555.72",-0.81,-0.81
277,PLP,1.0,4.2,4.16,3.75,6.4,4.73,0.58,"172,422.09","187,599.06",-0.95,-0.95
278,PNJ,1.0,85.86,85.0,68.98,92.24,77.94,4.2,"664,715.26","506,642.29",-1.01,-1.01
279,VJC,1.0,107.3,105.3,93.8,116.3,101.32,4.79,"707,098.39","382,236.04",-1.86,-1.86
280,BNA,1.0,11.4,11.1,9.1,15.0,11.52,1.58,"155,874.55","159,790.54",-2.63,-2.63
281,HT1,1.0,12.9,12.55,10.73,16.87,13.87,1.43,"923,106.43","679,393.10",-2.75,-2.75
282,SDA,1.0,6.7,6.5,5.2,10.5,7.0,1.3,"159,099.89","179,753.45",-2.99,-2.99
283,VHE,1.0,3.1,3.0,2.8,4.2,3.32,0.33,"284,788.27","287,667.41",-3.23,-3.23
284,PLX,1.0,36.16,34.95,31.9,41.08,36.77,1.95,"997,268.67","653,911.29",-3.35,-3.35
285,POW,1.0,11.85,11.45,10.6,14.1,12.55,0.94,"7,306,540.56","4,005,935.00",-3.38,-3.38
286,MPC,1.0,17.3,16.7,15.93,19.65,17.62,0.8,"223,415.47","220,979.18",-3.48,-3.48
287,POM,1.0,5.48,5.22,4.3,8.45,5.71,1.05,"630,418.47","930,781.26",-4.74,-4.74
288,DPM,1.0,34.41,32.75,28.4,40.45,33.67,2.78,"2,557,234.54","1,384,548.94",-4.81,-4.81
289,SMC,1.0,10.75,10.1,9.06,14.8,11.35,1.55,"492,899.60","362,243.20",-6.05,-6.05
290,TNA,1.0,6.0,5.6,5.23,7.35,6.08,0.46,"125,762.25","152,657.34",-6.67,-6.67
291,DST,1.0,4.1,3.8,3.7,6.0,4.47,0.56,"282,256.57","417,490.33",-7.32,-7.32
292,VAB,1.0,7.7,7.1,6.5,8.6,7.54,0.53,"496,305.89","539,438.28",-7.79,-7.79
293,BWE,1.0,44.8,41.3,39.8,49.5,44.68,1.88,"123,077.91","100,677.96",-7.8,-7.8
294,BCC,1.0,10.56,9.7,8.4,14.02,11.35,1.48,"753,869.30","552,098.80",-8.14,-8.14
295,IDI,1.0,12.75,11.6,9.44,15.4,12.44,1.19,"3,945,128.11","2,170,182.29",-9.02,-9.02
296,GEG,1.0,14.1,12.8,12.15,16.23,14.27,0.98,"1,109,175.10","819,300.67",-9.25,-9.25
297,REE,1.0,60.76,55.1,52.1,68.0,60.55,3.1,"559,663.86","405,622.44",-9.31,-9.31
298,GAS,1.0,82.83,75.1,73.91,91.66,80.45,4.45,"501,020.48","267,721.19",-9.34,-9.34
299,DAH,1.0,4.79,4.34,3.69,5.5,4.52,0.38,"1,125,003.21","1,184,532.72",-9.39,-9.39
300,TDC,1.0,10.9,9.76,8.36,15.65,11.18,1.79,"776,346.18","673,442.59",-10.46,-10.46
301,HBC,1.0,8.7,7.78,6.54,10.85,8.64,0.93,"2,429,630.12","1,940,936.20",-10.57,-10.57
302,PAS,1.0,4.6,4.1,3.8,6.4,4.68,0.64,"485,671.48","529,280.95",-10.87,-10.87
303,BVH,1.0,47.01,41.8,37.98,49.99,43.87,3.17,"545,671.49","393,232.85",-11.08,-11.08
304,VNM,1.0,76.28,67.2,62.92,79.71,70.64,3.93,"2,556,857.03","1,679,436.14",-11.9,-11.9
305,DHM,1.0,9.2,8.07,7.12,12.2,8.92,1.54,"118,540.96","110,596.71",-12.28,-12.28
306,HVN,1.0,14.25,12.5,10.2,14.75,12.48,0.96,"1,114,251.41","1,001,745.42",-12.28,-12.28
307,TTA,1.0,8.97,7.87,7.52,9.86,8.32,0.38,"697,412.85","540,542.93",-12.28,-12.28
308,TNI,1.0,3.06,2.68,2.5,3.7,2.94,0.24,"267,032.93","250,456.66",-12.42,-12.42
309,PFL,1.0,3.0,2.6,2.3,4.9,3.32,0.66,"375,378.86","373,731.73",-13.33,-13.33
310,TCM,1.0,47.12,40.55,40.3,51.48,44.0,2.45,"595,606.43","258,051.24",-13.94,-13.94
311,AAV,1.0,4.3,3.7,3.7,7.2,4.9,0.92,"571,360.39","536,998.68",-13.95,-13.95
312,DRH,1.0,5.7,4.9,3.95,7.91,5.65,0.93,"3,602,171.08","2,449,361.85",-14.04,-14.04
313,NED,1.0,5.7,4.9,4.4,7.4,5.63,0.62,"305,570.56","304,683.28",-14.04,-14.04
314,DAG,1.0,3.76,3.23,3.08,6.06,4.24,0.83,"593,894.38","550,231.86",-14.1,-14.1
315,TNH,1.0,22.56,19.35,17.3,25.0,21.63,2.22,"180,164.26","116,451.18",-14.22,-14.22
316,SHI,1.0,16.05,13.7,12.9,16.05,13.86,0.54,"411,528.51","546,380.02",-14.64,-14.64
317,L14,1.0,49.7,42.2,36.3,62.0,46.53,4.92,"504,724.22","354,317.26",-15.09,-15.09
318,AGG,1.0,29.75,24.95,24.6,35.2,28.71,2.41,"397,134.54","355,126.97",-16.13,-16.13
319,SSB,1.0,28.15,23.45,22.6,30.4,26.08,1.97,"1,048,071.08","474,836.74",-16.68,-16.68
320,VRE,1.0,28.5,23.1,22.1,31.5,27.03,2.36,"4,026,620.08","2,582,543.09",-18.95,-18.95
321,VHM,1.0,51.3,41.3,38.45,63.0,48.91,6.61,"4,127,217.67","3,030,055.66",-19.49,-19.49
322,VIC,1.0,54.8,43.0,40.4,75.6,51.41,6.75,"5,097,293.57","5,747,879.12",-21.53,-21.53
323,TAR,1.0,12.0,9.0,8.2,22.7,14.1,3.71,"1,722,564.47","1,364,894.59",-25.0,-25.0
324,BCM,1.0,80.79,59.9,57.22,84.84,72.91,8.53,"228,380.72","171,872.72",-25.86,-25.86
325,AFX,1.0,11.6,8.6,8.6,15.1,10.27,1.41,"221,845.82","269,894.79",-25.86,-25.86
326,IDJ,1.0,8.1,5.8,5.2,15.3,8.53,2.95,"2,866,519.75","2,446,163.33",-28.4,-28.4
327,LDG,1.0,4.06,2.86,2.86,6.42,4.4,0.83,"5,556,085.54","4,982,463.74",-29.56,-29.56
328,DGT,1.0,7.4,5.2,4.8,10.5,7.26,1.4,"477,179.39","695,032.76",-29.73,-29.73
329,MSN,1.0,94.9,64.8,57.8,103.7,76.19,9.41,"1,572,465.46","873,027.12",-31.72,-31.72
330,APS,1.0,9.4,6.4,5.7,15.9,9.37,2.91,"1,939,837.78","1,748,915.54",-31.91,-31.91
331,SAB,1.0,90.69,61.1,55.36,94.87,76.16,10.21,"311,716.47","262,503.08",-32.63,-32.63
332,VNE,1.0,9.7,6.48,5.7,12.65,9.9,2.08,"598,206.02","837,248.32",-33.2,-33.2
333,CTC,1.0,2.0,1.3,1.3,3.6,2.07,0.6,"176,882.34","244,564.09",-35.0,-35.0
334,API,1.0,8.8,5.6,5.6,15.9,8.55,3.07,"1,007,424.92","1,181,099.40",-36.36,-36.36
335,PBC,1.0,12.9,7.9,7.8,14.25,11.85,1.61,"132,226.82","207,830.11",-38.78,-38.78
336,NVB,1.0,19.6,11.9,9.9,20.1,14.05,2.58,"296,149.06","315,435.43",-39.29,-39.29
337,NAG,1.0,14.18,8.6,8.6,19.64,13.28,3.23,"306,970.30","251,250.55",-39.36,-39.36
338,SJF,1.0,3.23,1.79,1.79,4.65,3.2,0.86,"535,699.20","586,994.87",-44.58,-44.58
339,LMH,1.0,5.6,2.9,2.8,6.3,3.83,0.88,"1,047,727.51","993,240.45",-48.21,-48.21
340,KPF,1.0,12.1,5.0,4.59,12.3,7.87,1.99,"529,285.14","531,931.53",-58.68,-58.68
341,FIR,1.0,33.47,13.65,13.6,36.5,28.55,6.19,"475,852.61","480,705.18",-59.22,-59.22
342,DTI,1.0,8.7,3.5,2.9,11.12,5.8,2.2,"159,267.80","157,048.12",-59.78,-59.78
343,HTP,1.0,39.9,13.2,13.0,41.8,31.2,7.75,"102,711.45","222,149.23",-66.92,-66.92
344,DDG,1.0,39.8,5.7,5.6,43.3,15.94,14.49,"1,371,942.70","1,829,183.48",-85.68,-85.68
